seg,rgn,greenland,island,segID,rgnID
RussianFederation11589,RUS,0,0,11589,113
RussianFederation11590,RUS,0,0,11590,113
RussianFederation11591,RUS,0,0,11591,113
RussianFederation11596,RUS,0,0,11596,113
RussianFederation11597,RUS,0,0,11597,113
RussianFederation11598,RUS,0,0,11598,113
RussianFederation11599,RUS,0,0,11599,113
RussianFederation11707,RUS,0,0,11707,113
RussianFederation11708,RUS,0,0,11708,113
RussianFederation11711,RUS,0,0,11711,113
RussianFederation11592,RUS,0,0,11592,113
RussianFederation11593,RUS,0,0,11593,113
RussianFederation11594,RUS,0,0,11594,113
RussianFederation11595,RUS,0,0,11595,113
RussianFederation11600,RUS,0,0,11600,113
RussianFederation11601,RUS,0,0,11601,113
RussianFederation11602,RUS,0,0,11602,113
RussianFederation11603,RUS,0,0,11603,113
RussianFederation11604,RUS,0,0,11604,113
RussianFederation11605,RUS,0,0,11605,113
RussianFederation11606,RUS,0,0,11606,113
RussianFederation11607,RUS,0,0,11607,113
RussianFederation11608,RUS,0,0,11608,113
RussianFederation11609,RUS,0,0,11609,113
RussianFederation11610,RUS,0,0,11610,113
RussianFederation11611,RUS,0,0,11611,113
RussianFederation644,RUS,0,0,644,113
RussianFederation645,RUS,0,0,645,113
RussianFederation646,RUS,0,0,646,113
RussianFederation647,RUS,0,0,647,113
RussianFederation648,RUS,0,0,648,113
RussianFederation649,RUS,0,0,649,113
RussianFederation650,RUS,0,0,650,113
RussianFederation651,RUS,0,0,651,113
RussianFederation652,RUS,0,0,652,113
RussianFederation653,RUS,0,0,653,113
RussianFederation654,RUS,0,0,654,113
RussianFederation655,RUS,0,0,655,113
RussianFederation656,RUS,0,0,656,113
RussianFederation657,RUS,0,0,657,113
RussianFederation658,RUS,0,0,658,113
RussianFederation659,RUS,0,0,659,113
RussianFederation660,RUS,0,0,660,113
RussianFederation661,RUS,0,0,661,113
RussianFederation662,RUS,0,0,662,113
Spain8445,ESP,0,0,8445,39
