name,iso3,continent,patterns_area,patterns_gdp_2000,patterns_pop_2000,patterns_gdp_2100,patterns_pop_2100,scenario,source,source_id
Cape Verde,CPV,Africa,0.5934383869171143,0.5773069858551025,0.5823119282722473,0.5824134945869446,0.5844312310218811,ssp1,MRI-ESM2-0,18
Curacao,CUW,South America,0.6596383452415466,0.6596382856369019,0.6596384048461914,0.6596383452415466,0.6596383452415466,ssp1,MRI-ESM2-0,18
Cayman Is.,CYM,South America,0.7558733224868774,0.7558733224868774,0.7558733224868774,0.7558732628822327,0.7558733224868774,ssp1,MRI-ESM2-0,18
Dominica,DMA,South America,0.6115881204605103,0.611588180065155,0.6115881204605103,0.6115881204605103,0.611588180065155,ssp1,MRI-ESM2-0,18
Faroe Is.,FRO,Eurasia,-0.28332197666168213,-0.28332194685935974,-0.28332197666168213,-0.28332194685935974,-0.28332194685935974,ssp1,MRI-ESM2-0,18
Micronesia,FSM,Australia,0.7308661341667175,0.7309922575950623,0.7310318946838379,0.7310373783111572,0.731037437915802,ssp1,MRI-ESM2-0,18
Gaza,Gaza,Eurasia,0.9128029346466064,0.8954781889915466,0.8963631391525269,0.8951637744903564,0.8965680599212646,ssp1,MRI-ESM2-0,18
Guernsey,GGY,Eurasia,0.3230820894241333,0.3230820894241333,0.3230821192264557,0.3230821192264557,0.3230820894241333,ssp1,MRI-ESM2-0,18
Grenada,GRD,South America,0.6572168469429016,0.6572169065475464,0.6572168469429016,0.6572168469429016,0.6572168469429016,ssp1,MRI-ESM2-0,18
Guam,GUM,Australia,0.7424242496490479,0.7424243092536926,0.7424242496490479,0.7424242496490479,0.7424242496490479,ssp1,MRI-ESM2-0,18
Hong Kong,HKG,Eurasia,0.8296138048171997,0.8750857710838318,0.8764116764068604,0.8763055801391602,0.8754409551620483,ssp1,MRI-ESM2-0,18
Heard I. and McDonald Is.,HMD,NA,0.9011687636375427,0.9011687636375427,0.901168704032898,0.9011687636375427,0.9011687636375427,ssp1,MRI-ESM2-0,18
Isle of Man,IMN,Eurasia,0.16608528792858124,0.16608528792858124,0.16608528792858124,0.16608528792858124,0.16608530282974243,ssp1,MRI-ESM2-0,18
Indian Ocean Ter.,IOA,Australia,0.8999941349029541,0.8999941349029541,0.8999941349029541,0.8999940752983093,0.8999940752983093,ssp1,MRI-ESM2-0,18
Br. Indian Ocean Ter.,IOT,Eurasia,0.8216033577919006,0.8216033577919006,0.8216032981872559,0.8216033577919006,0.8216033577919006,ssp1,MRI-ESM2-0,18
Jersey,JEY,Eurasia,0.400004506111145,0.4000045359134674,0.4000045359134674,0.4000045359134674,0.4000045359134674,ssp1,MRI-ESM2-0,18
NA,KAS,Eurasia,1.2456402778625488,NA,NA,1.2436209917068481,1.2407481670379639,ssp1,MRI-ESM2-0,18
Kiribati,KIR,Australia,0.890353798866272,0.8903538584709167,0.8903537392616272,0.8903538584709167,0.890353798866272,ssp1,MRI-ESM2-0,18
St. Kitts and Nevis,KNA,South America,0.6235952973365784,0.6235952973365784,0.6235953569412231,0.6235952973365784,0.6235952973365784,ssp1,MRI-ESM2-0,18
Saint Lucia,LCA,South America,0.6163392066955566,0.6163392066955566,0.6163391470909119,0.6163392066955566,0.6163392663002014,ssp1,MRI-ESM2-0,18
Liechtenstein,LIE,Eurasia,0.7974682450294495,0.78867340087890625,0.7889540195465088,0.7852419018745422,0.7873087525367737,ssp1,MRI-ESM2-0,18
Macau,MAC,Eurasia,0.7982873916625977,0.7982873916625977,0.7982874512672424,0.7982874512672424,0.7982874512672424,ssp1,MRI-ESM2-0,18
St. Martin,MAF,Eurasia,0.6419356465339661,0.6419356465339661,0.6419355869293213,0.6419356465339661,0.6419356465339661,ssp1,MRI-ESM2-0,18
Monaco,MCO,Eurasia,0.8903650641441345,0.8903650641441345,0.8903651833534241,0.8903651237487793,0.8903651237487793,ssp1,MRI-ESM2-0,18
Maldives,MDV,Eurasia,0.8609267473220825,0.8609268665313721,0.8609268665313721,0.8609268069267273,0.8609268665313721,ssp1,MRI-ESM2-0,18
Marshall Is.,MHL,Australia,0.7526811361312866,0.7543335556983948,0.7543477416038513,0.7543494701385498,0.754349410533905,ssp1,MRI-ESM2-0,18
